name,youtube_url,date,court,duration_minutes
Gruppspel - Amadeus Eskengren / Philip Joelsson vs Adrian Forsgren / Arvid Hellesöy Annell,https://www.youtube.com/watch?v=-LC4VJ_uwPM,2026-03-14 15:00,Bana 10,90
Gruppspel - Eva Baggström / Anna Baggström vs Hedwig Widegren / Viola Wikström,https://www.youtube.com/watch?v=YTnJ_Q9I_n8,2026-03-14 14:15,Bana 4,90
Gruppspel - Paul Rhys / Rahul Sudhakara Menon vs Sebastian Särnbrink / Noah Paulson,https://www.youtube.com/watch?v=4mh8wpWFxwY,2026-03-14 14:15,Bana 8,90
Gruppspel - Daniel Wadskog / Leonardo Broman Klemming vs Angelos Chatziparasidis / Michael,https://www.youtube.com/watch?v=4MJTv2-UcGA,2026-03-14 14:15,Bana 9,90
Gruppspel - Alexander Knutsson Fiskvatn / Melvin Barmyr vs Milan Safai / Axel Söderström,https://www.youtube.com/watch?v=q6QOJb9ILbc,2026-03-14 14:00,Bana 7,90
Gruppspel - Mattias Dammander Åberg / Sixten Dammander vs Paul Rhys / Rahul Sudhakara Meno,https://www.youtube.com/watch?v=ev8BMr9enE8,2026-03-14 13:30,Bana 8,90
Gruppspel - Frida Nilzén / Malin Arnesson vs Jacqueline Jaconelli / Barbara Yano Alves,https://www.youtube.com/watch?v=khC15hnU9OE,2026-03-14 13:30,Bana 4,90
Gruppspel - Joakim Allard / Wilhelm Ek Tedefors vs Alexander Knutsson Fiskvatn / Melvin Ba,https://www.youtube.com/watch?v=i_gbLCba1Ck,2026-03-14 13:00,Bana 7,90
Gruppspel - Eva Baggström / Anna Baggström vs Frida Nilzén / Malin Arnesson,https://www.youtube.com/watch?v=paO8wctaji0,2026-03-14 12:45,Bana 4,90
Gruppspel - Andreas Hiller / David Sundström Sundström vs Daniel Wadskog / Leonardo Broman,https://www.youtube.com/watch?v=FGJSFOhLpuM,2026-03-14 12:45,Bana 9,90
Gruppspel - Henning Zettergren / Stefhan Jägare vs Amadeus Eskengren / Philip Joelsson,https://www.youtube.com/watch?v=8-mRNdU4xQw,2026-03-14 12:45,Bana 10,90
Gruppspel - Juan Esbjörnsson / Eric Calderon vs Mattias Coleman / Alexander Ahlgren,https://www.youtube.com/watch?v=UMtdzvJ90_I,2026-03-14 12:45,Bana 8,90
